Date,Time,Temperature,WHITEPWM,BLUEPWM,REDPWM,UVPWM,IRPWM
03-31-2019,02:41:14,Temperature: 02:41:14,0,0,0,0,0
03-31-2019,02:41:16,Temperature: 02:41:16,0,0,0,0,0
03-31-2019,02:41:17,Temperature: 02:41:17,0,0,0,0,0
03-31-2019,02:41:19,Temperature: 02:41:19,0,0,0,0,0
03-31-2019,02:41:20,Temperature: 02:41:20,0,0,0,0,0
03-31-2019,02:41:22,Temperature: 02:41:22,0,0,0,0,0
03-31-2019,02:41:24,Temperature: 02:41:24,0,0,0,0,0
03-31-2019,02:41:25,Temperature: 02:41:25,0,0,0,0,0
03-31-2019,02:41:27,Temperature: 02:41:27,0,0,0,0,0
03-31-2019,02:41:28,Temperature: 02:41:28,0,0,0,0,0
03-31-2019,02:41:30,Temperature: 02:41:30,0,0,0,0,0
03-31-2019,02:41:31,Temperature: 02:41:31,0,0,0,0,0
03-31-2019,02:41:33,Temperature: 02:41:33,0,0,0,0,0
03-31-2019,02:41:34,Temperature: 02:41:34,0,0,0,0,0
03-31-2019,02:41:36,Temperature: 02:41:36,0,0,0,0,0
03-31-2019,02:41:37,Temperature: 02:41:37,0,0,0,0,0
03-31-2019,02:41:39,Temperature: 02:41:39,0,0,0,0,0
03-31-2019,02:41:40,Temperature: 02:41:40,0,0,0,0,0
